from	to
Yersinia	Rhodanobacter
Yersinia	Holophaga
Yersinia	Paraprevotella
Yersinia	Mesorhizobium
Yersinia	Kocuria
Yersinia	Exiguobacterium
Yersinia	Mucilaginibacter
Yersinia	Ochrobactrum
Yersinia	Aeromicrobium
Yersinia	Chromobacterium
Yersinia	Azotobacter
Yersinia	Singulisphaera
Yersinia	Actinoplanes
Yersinia	Rheinheimera
Yersinia	Conexibacter
Yersinia	Pedosphaera
Yersinia	Undibacterium
Yersinia	Sideroxydans
Yersinia	Syntrophorhabdus
Yersinia	Sterolibacterium
Yersinia	Aquitalea
Yersinia	Pelolinea
Yersinia	Georgenia
Yersinia	Draconibacterium
Yersinia	Rubrobacter
Yersinia	Paucimonas
Yersinia	Sphingosinicella
Yersinia	Mitsuokella
Yersinia	Luteibacter
Yersinia	Fibrobacter
Yersinia	Rhodovulum
Yersinia	Thermomonospora
Yersinia	Luteimonas
Yersinia	Eggerthella
Yersinia	Oryzihumus
Yersinia	Shewanella
Yersinia	Methylobacter
Yersinia	Branchiibius
Yersinia	Beggiatoa
Yersinia	Micropruina
Yersinia	Haliea
Yersinia	Microbacterium
Yersinia	Petrimonas
Yersinia	Brevibacterium
Yersinia	Alcaligenes
Yersinia	Cellulosimicrobium
Yersinia	Odoribacter
Yersinia	Gordonibacter
Yersinia	Chromatocurvus
Yersinia	Paludibacterium
Yersinia	Marvinbryantia
Yersinia	Solobacterium
Yersinia	Rothia
Yersinia	Thiobacillus
Yersinia	Treponema
Yersinia	Demequina
Yersinia	Methylobacillus
Yersinia	Streptomyces
Yersinia	Sporomusa
Yersinia	Planktothrix
Yersinia	Pseudobacteroides
Yersinia	Candidatus Caldatribacterium
Yersinia	Dyadobacter
Yersinia	Agromyces
Yersinia	Eubacterium
Yersinia	Hymenobacter
Yersinia	Microvirga
Yersinia	Solimonas
Yersinia	Desulfonema
Yersinia	Acetobacter
Yersinia	Rubrivivax
Yersinia	Kaistia
Yersinia	Cohaesibacter
Yersinia	Jatrophihabitans
Yersinia	Larkinella
Yersinia	Proteiniphilum
Yersinia	Methylophilus
Yersinia	Skermanella
Yersinia	Aminobacter
Yersinia	Pseudonocardia
Yersinia	Dyella
Yersinia	Sanguibacter
Yersinia	Sphingobacterium
Yersinia	Chroococcidiopsis
Yersinia	Azorhizobium
Yersinia	Micrococcus
Yersinia	Asticcacaulis
Yersinia	Oxalobacter
Yersinia	Thioclava
Yersinia	Planomicrobium
Yersinia	Corynebacterium
Yersinia	Steroidobacter
Yersinia	Atopobium
Yersinia	Oscillibacter
Yersinia	Tsukamurella
Yersinia	Lapillicoccus
Yersinia	Algoriphagus
Yersinia	Emticicia
Yersinia	Patulibacter
Yersinia	Tessaracoccus
Yersinia	Providencia
Yersinia	Azospirillum
Yersinia	Chondromyces
Yersinia	Amphibacillus
Yersinia	Fusobacterium
Yersinia	Insolitispirillum
Yersinia	Mitsuaria
Yersinia	Blastococcus
Yersinia	Olsenella
Yersinia	Gracilibacter
Yersinia	Solirubrobacter
Yersinia	Sphaerochaeta
Yersinia	Parafilimonas
