from		to				AI-2
Sulfurovum	;	Sporichthya	Sulfurovum;Sporichthya			Sulfurovum;Sporichthya
Sulfurovum	;	Pandoraea	Sulfurovum;Pandoraea			Sulfurovum;Pandoraea
Sulfurovum	;	Photorhabdus	Sulfurovum;Photorhabdus			Sulfurovum;Photorhabdus
Sulfurovum	;	Aeribacillus	Sulfurovum;Aeribacillus			Sulfurovum;Aeribacillus
Sulfurovum	;	Thermobifida	Sulfurovum;Thermobifida			Sulfurovum;Thermobifida
Sulfurovum	;	Tepidanaerobacter	Sulfurovum;Tepidanaerobacter			Sulfurovum;Tepidanaerobacter
Sulfurovum	;	Oceanobacillus	Sulfurovum;Oceanobacillus			Sulfurovum;Oceanobacillus
Sulfurovum	;	Thalassospira	Sulfurovum;Thalassospira			Sulfurovum;Thalassospira
Sulfurovum	;	Telmatospirillum	Sulfurovum;Telmatospirillum			Sulfurovum;Telmatospirillum
Sulfurovum	;	Succinivibrio	Sulfurovum;Succinivibrio			Sulfurovum;Succinivibrio
Sulfurovum	;	Selenomonas	Sulfurovum;Selenomonas			Sulfurovum;Selenomonas
Sulfurovum	;	Robinsoniella	Sulfurovum;Robinsoniella			Sulfurovum;Robinsoniella
Sulfurovum	;	Pseudobutyrivibrio	Sulfurovum;Pseudobutyrivibrio			Sulfurovum;Pseudobutyrivibrio
Sulfurovum	;	Planctomyces	Sulfurovum;Planctomyces			Sulfurovum;Planctomyces
Sulfurovum	;	Pasteurella	Sulfurovum;Pasteurella			Sulfurovum;Pasteurella
Sulfurovum	;	Oceanisphaera	Sulfurovum;Oceanisphaera			Sulfurovum;Oceanisphaera
Sulfurovum	;	Morganella	Sulfurovum;Morganella			Sulfurovum;Morganella
Sulfurovum	;	Mesotoga	Sulfurovum;Mesotoga			Sulfurovum;Mesotoga
Sulfurovum	;	Leptolinea	Sulfurovum;Leptolinea			Sulfurovum;Leptolinea
Sulfurovum	;	Haemophilus	Sulfurovum;Haemophilus			Sulfurovum;Haemophilus
Sulfurovum	;	Geosporobacter	Sulfurovum;Geosporobacter			Sulfurovum;Geosporobacter
Sulfurovum	;	Fretibacterium	Sulfurovum;Fretibacterium			Sulfurovum;Fretibacterium
Sulfurovum	;	Fervidobacterium	Sulfurovum;Fervidobacterium			Sulfurovum;Fervidobacterium
Sulfurovum	;	Dorea	Sulfurovum;Dorea			Sulfurovum;Dorea
Sulfurovum	;	Dictyoglomus	Sulfurovum;Dictyoglomus			Sulfurovum;Dictyoglomus
Sulfurovum	;	Candidatus Latescibacter	Sulfurovum;Candidatus Latescibacter			Sulfurovum;Candidatus Latescibacter
Sulfurovum	;	Blastopirellula	Sulfurovum;Blastopirellula			Sulfurovum;Blastopirellula
Sulfurovum	;	Aggregatibacter	Sulfurovum;Aggregatibacter			Sulfurovum;Aggregatibacter
Anaerotruncus	;	Halomonas	Anaerotruncus;Halomonas			Anaerotruncus;Halomonas
Anaerotruncus	;	Acinetobacter	Anaerotruncus;Acinetobacter			Anaerotruncus;Acinetobacter
Anaerotruncus	;	Aeromonas	Anaerotruncus;Aeromonas			Anaerotruncus;Aeromonas
Anaerotruncus	;	Desulfovibrio	Anaerotruncus;Desulfovibrio			Anaerotruncus;Desulfovibrio
Anaerotruncus	;	Nitrospira	Anaerotruncus;Nitrospira			Anaerotruncus;Nitrospira
Anaerotruncus	;	Pseudomonas	Anaerotruncus;Pseudomonas			Anaerotruncus;Pseudomonas
Anaerotruncus	;	Rhodobacter	Anaerotruncus;Rhodobacter			Anaerotruncus;Rhodobacter
Anaerotruncus	;	Opitutus	Anaerotruncus;Opitutus			Anaerotruncus;Opitutus
Anaerotruncus	;	Raoultella	Anaerotruncus;Raoultella			Anaerotruncus;Raoultella
Anaerotruncus	;	Klebsiella	Anaerotruncus;Klebsiella			Anaerotruncus;Klebsiella
Anaerotruncus	;	Enterococcus	Anaerotruncus;Enterococcus			Anaerotruncus;Enterococcus
Anaerotruncus	;	Enterobacter	Anaerotruncus;Enterobacter			Anaerotruncus;Enterobacter
Anaerotruncus	;	Streptococcus	Anaerotruncus;Streptococcus			Anaerotruncus;Streptococcus
Anaerotruncus	;	Roseomonas	Anaerotruncus;Roseomonas			Anaerotruncus;Roseomonas
Anaerotruncus	;	Rhizobium	Anaerotruncus;Rhizobium			Anaerotruncus;Rhizobium
Anaerotruncus	;	Rhizobacter	Anaerotruncus;Rhizobacter			Anaerotruncus;Rhizobacter
Anaerotruncus	;	Mycobacterium	Anaerotruncus;Mycobacterium			Anaerotruncus;Mycobacterium
Anaerotruncus	;	Blautia	Anaerotruncus;Blautia			Anaerotruncus;Blautia
Anaerotruncus	;	Bacillus	Anaerotruncus;Bacillus			Anaerotruncus;Bacillus
Anaerotruncus	;	Gemmobacter	Anaerotruncus;Gemmobacter			Anaerotruncus;Gemmobacter
Anaerotruncus	;	Anaerolinea	Anaerotruncus;Anaerolinea			Anaerotruncus;Anaerolinea
Anaerotruncus	;	Nitratireductor	Anaerotruncus;Nitratireductor			Anaerotruncus;Nitratireductor
Anaerotruncus	;	Staphylococcus	Anaerotruncus;Staphylococcus			Anaerotruncus;Staphylococcus
Anaerotruncus	;	Actinomyces	Anaerotruncus;Actinomyces			Anaerotruncus;Actinomyces
Anaerotruncus	;	Burkholderia	Anaerotruncus;Burkholderia			Anaerotruncus;Burkholderia
Anaerotruncus	;	Nakamurella	Anaerotruncus;Nakamurella			Anaerotruncus;Nakamurella
Anaerotruncus	;	Lachnospira	Anaerotruncus;Lachnospira			Anaerotruncus;Lachnospira
Anaerotruncus	;	Shinella	Anaerotruncus;Shinella			Anaerotruncus;Shinella
Anaerotruncus	;	Arthrobacter	Anaerotruncus;Arthrobacter			Anaerotruncus;Arthrobacter
Anaerotruncus	;	Paenibacillus	Anaerotruncus;Paenibacillus			Anaerotruncus;Paenibacillus
Anaerotruncus	;	Ensifer	Anaerotruncus;Ensifer			Anaerotruncus;Ensifer
Anaerotruncus	;	Delftia	Anaerotruncus;Delftia			Anaerotruncus;Delftia
Anaerotruncus	;	Ruminiclostridium	Anaerotruncus;Ruminiclostridium			Anaerotruncus;Ruminiclostridium
Anaerotruncus	;	Brevibacillus	Anaerotruncus;Brevibacillus			Anaerotruncus;Brevibacillus
Anaerotruncus	;	Desulfobacter	Anaerotruncus;Desulfobacter			Anaerotruncus;Desulfobacter
Anaerotruncus	;	Xanthomonas	Anaerotruncus;Xanthomonas			Anaerotruncus;Xanthomonas
Anaerotruncus	;	Leucobacter	Anaerotruncus;Leucobacter			Anaerotruncus;Leucobacter
Anaerotruncus	;	Microbacter	Anaerotruncus;Microbacter			Anaerotruncus;Microbacter
Anaerotruncus	;	Rhodopirellula	Anaerotruncus;Rhodopirellula			Anaerotruncus;Rhodopirellula
Anaerotruncus	;	Veillonella	Anaerotruncus;Veillonella			Anaerotruncus;Veillonella
Anaerotruncus	;	Leptospira	Anaerotruncus;Leptospira			Anaerotruncus;Leptospira
Anaerotruncus	;	Mesorhizobium	Anaerotruncus;Mesorhizobium			Anaerotruncus;Mesorhizobium
Anaerotruncus	;	Ochrobactrum	Anaerotruncus;Ochrobactrum			Anaerotruncus;Ochrobactrum
Anaerotruncus	;	Pedosphaera	Anaerotruncus;Pedosphaera			Anaerotruncus;Pedosphaera
Anaerotruncus	;	Georgenia	Anaerotruncus;Georgenia			Anaerotruncus;Georgenia
Anaerotruncus	;	Rubrobacter	Anaerotruncus;Rubrobacter			Anaerotruncus;Rubrobacter
Anaerotruncus	;	Methylobacter	Anaerotruncus;Methylobacter			Anaerotruncus;Methylobacter
Anaerotruncus	;	Microbacterium	Anaerotruncus;Microbacterium			Anaerotruncus;Microbacterium
Anaerotruncus	;	Treponema	Anaerotruncus;Treponema			Anaerotruncus;Treponema
Anaerotruncus	;	Streptomyces	Anaerotruncus;Streptomyces			Anaerotruncus;Streptomyces
Anaerotruncus	;	Candidatus Caldatribacterium	Anaerotruncus;Candidatus Caldatribacterium			Anaerotruncus;Candidatus Caldatribacterium
Anaerotruncus	;	Eubacterium	Anaerotruncus;Eubacterium			Anaerotruncus;Eubacterium
Anaerotruncus	;	Acetobacter	Anaerotruncus;Acetobacter			Anaerotruncus;Acetobacter
Anaerotruncus	;	Kaistia	Anaerotruncus;Kaistia			Anaerotruncus;Kaistia
Anaerotruncus	;	Cohaesibacter	Anaerotruncus;Cohaesibacter			Anaerotruncus;Cohaesibacter
Anaerotruncus	;	Pseudonocardia	Anaerotruncus;Pseudonocardia			Anaerotruncus;Pseudonocardia
Anaerotruncus	;	Oxalobacter	Anaerotruncus;Oxalobacter			Anaerotruncus;Oxalobacter
Anaerotruncus	;	Thioclava	Anaerotruncus;Thioclava			Anaerotruncus;Thioclava
Anaerotruncus	;	Atopobium	Anaerotruncus;Atopobium			Anaerotruncus;Atopobium
Anaerotruncus	;	Oscillibacter	Anaerotruncus;Oscillibacter			Anaerotruncus;Oscillibacter
Anaerotruncus	;	Tessaracoccus	Anaerotruncus;Tessaracoccus			Anaerotruncus;Tessaracoccus
Anaerotruncus	;	Providencia	Anaerotruncus;Providencia			Anaerotruncus;Providencia
Anaerotruncus	;	Olsenella	Anaerotruncus;Olsenella			Anaerotruncus;Olsenella
Anaerotruncus	;	Sphaerochaeta	Anaerotruncus;Sphaerochaeta			Anaerotruncus;Sphaerochaeta
Anaerotruncus	;	Acidiphilium	Anaerotruncus;Acidiphilium			Anaerotruncus;Acidiphilium
Anaerotruncus	;	Starkeya	Anaerotruncus;Starkeya			Anaerotruncus;Starkeya
Anaerotruncus	;	Phyllobacterium	Anaerotruncus;Phyllobacterium			Anaerotruncus;Phyllobacterium
Anaerotruncus	;	Vibrio	Anaerotruncus;Vibrio			Anaerotruncus;Vibrio
Anaerotruncus	;	Hungatella	Anaerotruncus;Hungatella			Anaerotruncus;Hungatella
Anaerotruncus	;	Leifsonia	Anaerotruncus;Leifsonia			Anaerotruncus;Leifsonia
Anaerotruncus	;	Micromonospora	Anaerotruncus;Micromonospora			Anaerotruncus;Micromonospora
Anaerotruncus	;	Truepera	Anaerotruncus;Truepera			Anaerotruncus;Truepera
Anaerotruncus	;	Aureimonas	Anaerotruncus;Aureimonas			Anaerotruncus;Aureimonas
Anaerotruncus	;	Gluconacetobacter	Anaerotruncus;Gluconacetobacter			Anaerotruncus;Gluconacetobacter
Anaerotruncus	;	Oscillospira	Anaerotruncus;Oscillospira			Anaerotruncus;Oscillospira
Anaerotruncus	;	Tabrizicola	Anaerotruncus;Tabrizicola			Anaerotruncus;Tabrizicola
Anaerotruncus	;	Pantoea	Anaerotruncus;Pantoea			Anaerotruncus;Pantoea
Anaerotruncus	;	Kiloniella	Anaerotruncus;Kiloniella			Anaerotruncus;Kiloniella
Anaerotruncus	;	Caldilinea	Anaerotruncus;Caldilinea			Anaerotruncus;Caldilinea
Anaerotruncus	;	Euzebya	Anaerotruncus;Euzebya			Anaerotruncus;Euzebya
Anaerotruncus	;	Brachybacterium	Anaerotruncus;Brachybacterium			Anaerotruncus;Brachybacterium
Anaerotruncus	;	Pelomonas	Anaerotruncus;Pelomonas			Anaerotruncus;Pelomonas
Anaerotruncus	;	Nonomuraea	Anaerotruncus;Nonomuraea			Anaerotruncus;Nonomuraea
Anaerotruncus	;	Sulfobacillus	Anaerotruncus;Sulfobacillus			Anaerotruncus;Sulfobacillus
Anaerotruncus	;	Virgibacillus	Anaerotruncus;Virgibacillus			Anaerotruncus;Virgibacillus
Anaerotruncus	;	Amycolatopsis	Anaerotruncus;Amycolatopsis			Anaerotruncus;Amycolatopsis
Anaerotruncus	;	Ktedonobacter	Anaerotruncus;Ktedonobacter			Anaerotruncus;Ktedonobacter
Anaerotruncus	;	Serratia	Anaerotruncus;Serratia			Anaerotruncus;Serratia
Anaerotruncus	;	Salmonella	Anaerotruncus;Salmonella			Anaerotruncus;Salmonella
Anaerotruncus	;	Grimontia	Anaerotruncus;Grimontia			Anaerotruncus;Grimontia
Anaerotruncus	;	Labrenzia	Anaerotruncus;Labrenzia			Anaerotruncus;Labrenzia
Anaerotruncus	;	Verminephrobacter	Anaerotruncus;Verminephrobacter			Anaerotruncus;Verminephrobacter
Anaerotruncus	;	Paucibacter	Anaerotruncus;Paucibacter			Anaerotruncus;Paucibacter
Anaerotruncus	;	Actinomadura	Anaerotruncus;Actinomadura			Anaerotruncus;Actinomadura
Anaerotruncus	;	Yersinia	Anaerotruncus;Yersinia			Anaerotruncus;Yersinia
Anaerotruncus	;	Butyrivibrio	Anaerotruncus;Butyrivibrio			Anaerotruncus;Butyrivibrio
Anaerotruncus	;	Phycisphaera	Anaerotruncus;Phycisphaera			Anaerotruncus;Phycisphaera
Anaerotruncus	;	Sporichthya	Anaerotruncus;Sporichthya			Anaerotruncus;Sporichthya
Anaerotruncus	;	Pandoraea	Anaerotruncus;Pandoraea			Anaerotruncus;Pandoraea
Anaerotruncus	;	Photorhabdus	Anaerotruncus;Photorhabdus			Anaerotruncus;Photorhabdus
Anaerotruncus	;	Aeribacillus	Anaerotruncus;Aeribacillus			Anaerotruncus;Aeribacillus
Anaerotruncus	;	Thermobifida	Anaerotruncus;Thermobifida			Anaerotruncus;Thermobifida
Anaerotruncus	;	Tepidanaerobacter	Anaerotruncus;Tepidanaerobacter			Anaerotruncus;Tepidanaerobacter
Anaerotruncus	;	Oceanobacillus	Anaerotruncus;Oceanobacillus			Anaerotruncus;Oceanobacillus
Anaerotruncus	;	Thalassospira	Anaerotruncus;Thalassospira			Anaerotruncus;Thalassospira
Anaerotruncus	;	Telmatospirillum	Anaerotruncus;Telmatospirillum			Anaerotruncus;Telmatospirillum
Anaerotruncus	;	Succinivibrio	Anaerotruncus;Succinivibrio			Anaerotruncus;Succinivibrio
Anaerotruncus	;	Selenomonas	Anaerotruncus;Selenomonas			Anaerotruncus;Selenomonas
Anaerotruncus	;	Robinsoniella	Anaerotruncus;Robinsoniella			Anaerotruncus;Robinsoniella
Anaerotruncus	;	Pseudobutyrivibrio	Anaerotruncus;Pseudobutyrivibrio			Anaerotruncus;Pseudobutyrivibrio
Anaerotruncus	;	Planctomyces	Anaerotruncus;Planctomyces			Anaerotruncus;Planctomyces
Anaerotruncus	;	Pasteurella	Anaerotruncus;Pasteurella			Anaerotruncus;Pasteurella
Anaerotruncus	;	Oceanisphaera	Anaerotruncus;Oceanisphaera			Anaerotruncus;Oceanisphaera
Anaerotruncus	;	Morganella	Anaerotruncus;Morganella			Anaerotruncus;Morganella
Anaerotruncus	;	Mesotoga	Anaerotruncus;Mesotoga			Anaerotruncus;Mesotoga
Anaerotruncus	;	Leptolinea	Anaerotruncus;Leptolinea			Anaerotruncus;Leptolinea
Anaerotruncus	;	Haemophilus	Anaerotruncus;Haemophilus			Anaerotruncus;Haemophilus
Anaerotruncus	;	Geosporobacter	Anaerotruncus;Geosporobacter			Anaerotruncus;Geosporobacter
Anaerotruncus	;	Fretibacterium	Anaerotruncus;Fretibacterium			Anaerotruncus;Fretibacterium
Anaerotruncus	;	Fervidobacterium	Anaerotruncus;Fervidobacterium			Anaerotruncus;Fervidobacterium
Anaerotruncus	;	Dorea	Anaerotruncus;Dorea			Anaerotruncus;Dorea
Anaerotruncus	;	Dictyoglomus	Anaerotruncus;Dictyoglomus			Anaerotruncus;Dictyoglomus
Anaerotruncus	;	Candidatus Latescibacter	Anaerotruncus;Candidatus Latescibacter			Anaerotruncus;Candidatus Latescibacter
Anaerotruncus	;	Blastopirellula	Anaerotruncus;Blastopirellula			Anaerotruncus;Blastopirellula
Anaerotruncus	;	Aggregatibacter	Anaerotruncus;Aggregatibacter			Anaerotruncus;Aggregatibacter
Leptotrichia	;	Halomonas	Leptotrichia;Halomonas			Leptotrichia;Halomonas
Leptotrichia	;	Acinetobacter	Leptotrichia;Acinetobacter			Leptotrichia;Acinetobacter
Leptotrichia	;	Aeromonas	Leptotrichia;Aeromonas			Leptotrichia;Aeromonas
Leptotrichia	;	Desulfovibrio	Leptotrichia;Desulfovibrio			Leptotrichia;Desulfovibrio
Leptotrichia	;	Nitrospira	Leptotrichia;Nitrospira			Leptotrichia;Nitrospira
Leptotrichia	;	Pseudomonas	Leptotrichia;Pseudomonas			Leptotrichia;Pseudomonas
Leptotrichia	;	Rhodobacter	Leptotrichia;Rhodobacter			Leptotrichia;Rhodobacter
Leptotrichia	;	Opitutus	Leptotrichia;Opitutus			Leptotrichia;Opitutus
Leptotrichia	;	Raoultella	Leptotrichia;Raoultella			Leptotrichia;Raoultella
Leptotrichia	;	Klebsiella	Leptotrichia;Klebsiella			Leptotrichia;Klebsiella
Leptotrichia	;	Enterococcus	Leptotrichia;Enterococcus			Leptotrichia;Enterococcus
Leptotrichia	;	Enterobacter	Leptotrichia;Enterobacter			Leptotrichia;Enterobacter
Leptotrichia	;	Streptococcus	Leptotrichia;Streptococcus			Leptotrichia;Streptococcus
Leptotrichia	;	Roseomonas	Leptotrichia;Roseomonas			Leptotrichia;Roseomonas
Leptotrichia	;	Rhizobium	Leptotrichia;Rhizobium			Leptotrichia;Rhizobium
Leptotrichia	;	Rhizobacter	Leptotrichia;Rhizobacter			Leptotrichia;Rhizobacter
Leptotrichia	;	Mycobacterium	Leptotrichia;Mycobacterium			Leptotrichia;Mycobacterium
Leptotrichia	;	Blautia	Leptotrichia;Blautia			Leptotrichia;Blautia
Leptotrichia	;	Bacillus	Leptotrichia;Bacillus			Leptotrichia;Bacillus
Leptotrichia	;	Gemmobacter	Leptotrichia;Gemmobacter			Leptotrichia;Gemmobacter
Leptotrichia	;	Anaerolinea	Leptotrichia;Anaerolinea			Leptotrichia;Anaerolinea
Leptotrichia	;	Nitratireductor	Leptotrichia;Nitratireductor			Leptotrichia;Nitratireductor
Leptotrichia	;	Staphylococcus	Leptotrichia;Staphylococcus			Leptotrichia;Staphylococcus
Leptotrichia	;	Actinomyces	Leptotrichia;Actinomyces			Leptotrichia;Actinomyces
Leptotrichia	;	Burkholderia	Leptotrichia;Burkholderia			Leptotrichia;Burkholderia
Leptotrichia	;	Nakamurella	Leptotrichia;Nakamurella			Leptotrichia;Nakamurella
Leptotrichia	;	Lachnospira	Leptotrichia;Lachnospira			Leptotrichia;Lachnospira
Leptotrichia	;	Shinella	Leptotrichia;Shinella			Leptotrichia;Shinella
Leptotrichia	;	Arthrobacter	Leptotrichia;Arthrobacter			Leptotrichia;Arthrobacter
Leptotrichia	;	Paenibacillus	Leptotrichia;Paenibacillus			Leptotrichia;Paenibacillus
Leptotrichia	;	Ensifer	Leptotrichia;Ensifer			Leptotrichia;Ensifer
Leptotrichia	;	Delftia	Leptotrichia;Delftia			Leptotrichia;Delftia
Leptotrichia	;	Ruminiclostridium	Leptotrichia;Ruminiclostridium			Leptotrichia;Ruminiclostridium
Leptotrichia	;	Brevibacillus	Leptotrichia;Brevibacillus			Leptotrichia;Brevibacillus
Leptotrichia	;	Desulfobacter	Leptotrichia;Desulfobacter			Leptotrichia;Desulfobacter
Leptotrichia	;	Xanthomonas	Leptotrichia;Xanthomonas			Leptotrichia;Xanthomonas
Leptotrichia	;	Leucobacter	Leptotrichia;Leucobacter			Leptotrichia;Leucobacter
Leptotrichia	;	Microbacter	Leptotrichia;Microbacter			Leptotrichia;Microbacter
Leptotrichia	;	Rhodopirellula	Leptotrichia;Rhodopirellula			Leptotrichia;Rhodopirellula
Leptotrichia	;	Veillonella	Leptotrichia;Veillonella			Leptotrichia;Veillonella
Leptotrichia	;	Leptospira	Leptotrichia;Leptospira			Leptotrichia;Leptospira
Leptotrichia	;	Mesorhizobium	Leptotrichia;Mesorhizobium			Leptotrichia;Mesorhizobium
Leptotrichia	;	Ochrobactrum	Leptotrichia;Ochrobactrum			Leptotrichia;Ochrobactrum
Leptotrichia	;	Pedosphaera	Leptotrichia;Pedosphaera			Leptotrichia;Pedosphaera
Leptotrichia	;	Georgenia	Leptotrichia;Georgenia			Leptotrichia;Georgenia
Leptotrichia	;	Rubrobacter	Leptotrichia;Rubrobacter			Leptotrichia;Rubrobacter
Leptotrichia	;	Methylobacter	Leptotrichia;Methylobacter			Leptotrichia;Methylobacter
Leptotrichia	;	Microbacterium	Leptotrichia;Microbacterium			Leptotrichia;Microbacterium
Leptotrichia	;	Treponema	Leptotrichia;Treponema			Leptotrichia;Treponema
Leptotrichia	;	Streptomyces	Leptotrichia;Streptomyces			Leptotrichia;Streptomyces
Leptotrichia	;	Candidatus Caldatribacterium	Leptotrichia;Candidatus Caldatribacterium			Leptotrichia;Candidatus Caldatribacterium
Leptotrichia	;	Eubacterium	Leptotrichia;Eubacterium			Leptotrichia;Eubacterium
Leptotrichia	;	Acetobacter	Leptotrichia;Acetobacter			Leptotrichia;Acetobacter
Leptotrichia	;	Kaistia	Leptotrichia;Kaistia			Leptotrichia;Kaistia
Leptotrichia	;	Cohaesibacter	Leptotrichia;Cohaesibacter			Leptotrichia;Cohaesibacter
Leptotrichia	;	Pseudonocardia	Leptotrichia;Pseudonocardia			Leptotrichia;Pseudonocardia
Leptotrichia	;	Oxalobacter	Leptotrichia;Oxalobacter			Leptotrichia;Oxalobacter
Leptotrichia	;	Thioclava	Leptotrichia;Thioclava			Leptotrichia;Thioclava
Leptotrichia	;	Atopobium	Leptotrichia;Atopobium			Leptotrichia;Atopobium
Leptotrichia	;	Oscillibacter	Leptotrichia;Oscillibacter			Leptotrichia;Oscillibacter
Leptotrichia	;	Tessaracoccus	Leptotrichia;Tessaracoccus			Leptotrichia;Tessaracoccus
Leptotrichia	;	Providencia	Leptotrichia;Providencia			Leptotrichia;Providencia
Leptotrichia	;	Olsenella	Leptotrichia;Olsenella			Leptotrichia;Olsenella
Leptotrichia	;	Sphaerochaeta	Leptotrichia;Sphaerochaeta			Leptotrichia;Sphaerochaeta
Leptotrichia	;	Acidiphilium	Leptotrichia;Acidiphilium			Leptotrichia;Acidiphilium
Leptotrichia	;	Starkeya	Leptotrichia;Starkeya			Leptotrichia;Starkeya
Leptotrichia	;	Phyllobacterium	Leptotrichia;Phyllobacterium			Leptotrichia;Phyllobacterium
Leptotrichia	;	Vibrio	Leptotrichia;Vibrio			Leptotrichia;Vibrio
Leptotrichia	;	Hungatella	Leptotrichia;Hungatella			Leptotrichia;Hungatella
Leptotrichia	;	Leifsonia	Leptotrichia;Leifsonia			Leptotrichia;Leifsonia
Leptotrichia	;	Micromonospora	Leptotrichia;Micromonospora			Leptotrichia;Micromonospora
Leptotrichia	;	Truepera	Leptotrichia;Truepera			Leptotrichia;Truepera
Leptotrichia	;	Aureimonas	Leptotrichia;Aureimonas			Leptotrichia;Aureimonas
Leptotrichia	;	Gluconacetobacter	Leptotrichia;Gluconacetobacter			Leptotrichia;Gluconacetobacter
Leptotrichia	;	Oscillospira	Leptotrichia;Oscillospira			Leptotrichia;Oscillospira
Leptotrichia	;	Tabrizicola	Leptotrichia;Tabrizicola			Leptotrichia;Tabrizicola
Leptotrichia	;	Pantoea	Leptotrichia;Pantoea			Leptotrichia;Pantoea
Leptotrichia	;	Kiloniella	Leptotrichia;Kiloniella			Leptotrichia;Kiloniella
Leptotrichia	;	Caldilinea	Leptotrichia;Caldilinea			Leptotrichia;Caldilinea
Leptotrichia	;	Euzebya	Leptotrichia;Euzebya			Leptotrichia;Euzebya
Leptotrichia	;	Brachybacterium	Leptotrichia;Brachybacterium			Leptotrichia;Brachybacterium
Leptotrichia	;	Pelomonas	Leptotrichia;Pelomonas			Leptotrichia;Pelomonas
Leptotrichia	;	Nonomuraea	Leptotrichia;Nonomuraea			Leptotrichia;Nonomuraea
Leptotrichia	;	Sulfobacillus	Leptotrichia;Sulfobacillus			Leptotrichia;Sulfobacillus
Leptotrichia	;	Virgibacillus	Leptotrichia;Virgibacillus			Leptotrichia;Virgibacillus
Leptotrichia	;	Amycolatopsis	Leptotrichia;Amycolatopsis			Leptotrichia;Amycolatopsis
Leptotrichia	;	Ktedonobacter	Leptotrichia;Ktedonobacter			Leptotrichia;Ktedonobacter
Leptotrichia	;	Serratia	Leptotrichia;Serratia			Leptotrichia;Serratia
Leptotrichia	;	Salmonella	Leptotrichia;Salmonella			Leptotrichia;Salmonella
Leptotrichia	;	Grimontia	Leptotrichia;Grimontia			Leptotrichia;Grimontia
Leptotrichia	;	Labrenzia	Leptotrichia;Labrenzia			Leptotrichia;Labrenzia
Leptotrichia	;	Verminephrobacter	Leptotrichia;Verminephrobacter			Leptotrichia;Verminephrobacter
Leptotrichia	;	Paucibacter	Leptotrichia;Paucibacter			Leptotrichia;Paucibacter
Leptotrichia	;	Actinomadura	Leptotrichia;Actinomadura			Leptotrichia;Actinomadura
Leptotrichia	;	Yersinia	Leptotrichia;Yersinia			Leptotrichia;Yersinia
Leptotrichia	;	Butyrivibrio	Leptotrichia;Butyrivibrio			Leptotrichia;Butyrivibrio
Leptotrichia	;	Phycisphaera	Leptotrichia;Phycisphaera			Leptotrichia;Phycisphaera
Leptotrichia	;	Sporichthya	Leptotrichia;Sporichthya			Leptotrichia;Sporichthya
Leptotrichia	;	Pandoraea	Leptotrichia;Pandoraea			Leptotrichia;Pandoraea
Leptotrichia	;	Photorhabdus	Leptotrichia;Photorhabdus			Leptotrichia;Photorhabdus
Leptotrichia	;	Aeribacillus	Leptotrichia;Aeribacillus			Leptotrichia;Aeribacillus
Leptotrichia	;	Thermobifida	Leptotrichia;Thermobifida			Leptotrichia;Thermobifida
Leptotrichia	;	Tepidanaerobacter	Leptotrichia;Tepidanaerobacter			Leptotrichia;Tepidanaerobacter
Leptotrichia	;	Oceanobacillus	Leptotrichia;Oceanobacillus			Leptotrichia;Oceanobacillus
Leptotrichia	;	Thalassospira	Leptotrichia;Thalassospira			Leptotrichia;Thalassospira
Leptotrichia	;	Telmatospirillum	Leptotrichia;Telmatospirillum			Leptotrichia;Telmatospirillum
Leptotrichia	;	Succinivibrio	Leptotrichia;Succinivibrio			Leptotrichia;Succinivibrio
Leptotrichia	;	Selenomonas	Leptotrichia;Selenomonas			Leptotrichia;Selenomonas
Leptotrichia	;	Robinsoniella	Leptotrichia;Robinsoniella			Leptotrichia;Robinsoniella
Leptotrichia	;	Pseudobutyrivibrio	Leptotrichia;Pseudobutyrivibrio			Leptotrichia;Pseudobutyrivibrio
Leptotrichia	;	Planctomyces	Leptotrichia;Planctomyces			Leptotrichia;Planctomyces
Leptotrichia	;	Pasteurella	Leptotrichia;Pasteurella			Leptotrichia;Pasteurella
Leptotrichia	;	Oceanisphaera	Leptotrichia;Oceanisphaera			Leptotrichia;Oceanisphaera
Leptotrichia	;	Morganella	Leptotrichia;Morganella			Leptotrichia;Morganella
Leptotrichia	;	Mesotoga	Leptotrichia;Mesotoga			Leptotrichia;Mesotoga
Leptotrichia	;	Leptolinea	Leptotrichia;Leptolinea			Leptotrichia;Leptolinea
Leptotrichia	;	Haemophilus	Leptotrichia;Haemophilus			Leptotrichia;Haemophilus
Leptotrichia	;	Geosporobacter	Leptotrichia;Geosporobacter			Leptotrichia;Geosporobacter
Leptotrichia	;	Fretibacterium	Leptotrichia;Fretibacterium			Leptotrichia;Fretibacterium
Leptotrichia	;	Fervidobacterium	Leptotrichia;Fervidobacterium			Leptotrichia;Fervidobacterium
Leptotrichia	;	Dorea	Leptotrichia;Dorea			Leptotrichia;Dorea
Leptotrichia	;	Dictyoglomus	Leptotrichia;Dictyoglomus			Leptotrichia;Dictyoglomus
Leptotrichia	;	Candidatus Latescibacter	Leptotrichia;Candidatus Latescibacter			Leptotrichia;Candidatus Latescibacter
Leptotrichia	;	Blastopirellula	Leptotrichia;Blastopirellula			Leptotrichia;Blastopirellula
Leptotrichia	;	Aggregatibacter	Leptotrichia;Aggregatibacter			Leptotrichia;Aggregatibacter
Fusicatenibacter	;	Halomonas	Fusicatenibacter;Halomonas			Fusicatenibacter;Halomonas
