from		to				AI-2
Yersinia	;	Pantoea	Yersinia;Pantoea			Yersinia;Pantoea
Yersinia	;	Kiloniella	Yersinia;Kiloniella			Yersinia;Kiloniella
Yersinia	;	Caldilinea	Yersinia;Caldilinea			Yersinia;Caldilinea
Yersinia	;	Euzebya	Yersinia;Euzebya			Yersinia;Euzebya
Yersinia	;	Brachybacterium	Yersinia;Brachybacterium			Yersinia;Brachybacterium
Yersinia	;	Pelomonas	Yersinia;Pelomonas			Yersinia;Pelomonas
Yersinia	;	Nonomuraea	Yersinia;Nonomuraea			Yersinia;Nonomuraea
Yersinia	;	Sulfobacillus	Yersinia;Sulfobacillus			Yersinia;Sulfobacillus
Yersinia	;	Virgibacillus	Yersinia;Virgibacillus			Yersinia;Virgibacillus
Yersinia	;	Amycolatopsis	Yersinia;Amycolatopsis			Yersinia;Amycolatopsis
Yersinia	;	Ktedonobacter	Yersinia;Ktedonobacter			Yersinia;Ktedonobacter
Yersinia	;	Serratia	Yersinia;Serratia			Yersinia;Serratia
Yersinia	;	Salmonella	Yersinia;Salmonella			Yersinia;Salmonella
Yersinia	;	Grimontia	Yersinia;Grimontia			Yersinia;Grimontia
Yersinia	;	Labrenzia	Yersinia;Labrenzia			Yersinia;Labrenzia
Yersinia	;	Verminephrobacter	Yersinia;Verminephrobacter			Yersinia;Verminephrobacter
Yersinia	;	Paucibacter	Yersinia;Paucibacter			Yersinia;Paucibacter
Yersinia	;	Actinomadura	Yersinia;Actinomadura			Yersinia;Actinomadura
Yersinia	;	Butyrivibrio	Yersinia;Butyrivibrio			Yersinia;Butyrivibrio
Yersinia	;	Phycisphaera	Yersinia;Phycisphaera			Yersinia;Phycisphaera
Yersinia	;	Sporichthya	Yersinia;Sporichthya			Yersinia;Sporichthya
Yersinia	;	Pandoraea	Yersinia;Pandoraea			Yersinia;Pandoraea
Yersinia	;	Photorhabdus	Yersinia;Photorhabdus			Yersinia;Photorhabdus
Yersinia	;	Aeribacillus	Yersinia;Aeribacillus			Yersinia;Aeribacillus
Yersinia	;	Thermobifida	Yersinia;Thermobifida			Yersinia;Thermobifida
Yersinia	;	Tepidanaerobacter	Yersinia;Tepidanaerobacter			Yersinia;Tepidanaerobacter
Yersinia	;	Oceanobacillus	Yersinia;Oceanobacillus			Yersinia;Oceanobacillus
Yersinia	;	Thalassospira	Yersinia;Thalassospira			Yersinia;Thalassospira
Yersinia	;	Telmatospirillum	Yersinia;Telmatospirillum			Yersinia;Telmatospirillum
Yersinia	;	Succinivibrio	Yersinia;Succinivibrio			Yersinia;Succinivibrio
Yersinia	;	Selenomonas	Yersinia;Selenomonas			Yersinia;Selenomonas
Yersinia	;	Robinsoniella	Yersinia;Robinsoniella			Yersinia;Robinsoniella
Yersinia	;	Pseudobutyrivibrio	Yersinia;Pseudobutyrivibrio			Yersinia;Pseudobutyrivibrio
Yersinia	;	Planctomyces	Yersinia;Planctomyces			Yersinia;Planctomyces
Yersinia	;	Pasteurella	Yersinia;Pasteurella			Yersinia;Pasteurella
Yersinia	;	Oceanisphaera	Yersinia;Oceanisphaera			Yersinia;Oceanisphaera
Yersinia	;	Morganella	Yersinia;Morganella			Yersinia;Morganella
Yersinia	;	Mesotoga	Yersinia;Mesotoga			Yersinia;Mesotoga
Yersinia	;	Leptolinea	Yersinia;Leptolinea			Yersinia;Leptolinea
Yersinia	;	Haemophilus	Yersinia;Haemophilus			Yersinia;Haemophilus
Yersinia	;	Geosporobacter	Yersinia;Geosporobacter			Yersinia;Geosporobacter
Yersinia	;	Fretibacterium	Yersinia;Fretibacterium			Yersinia;Fretibacterium
Yersinia	;	Fervidobacterium	Yersinia;Fervidobacterium			Yersinia;Fervidobacterium
Yersinia	;	Dorea	Yersinia;Dorea			Yersinia;Dorea
Yersinia	;	Dictyoglomus	Yersinia;Dictyoglomus			Yersinia;Dictyoglomus
Yersinia	;	Candidatus Latescibacter	Yersinia;Candidatus Latescibacter			Yersinia;Candidatus Latescibacter
Yersinia	;	Blastopirellula	Yersinia;Blastopirellula			Yersinia;Blastopirellula
Yersinia	;	Aggregatibacter	Yersinia;Aggregatibacter			Yersinia;Aggregatibacter
Xanthomonas	;	Halomonas	Xanthomonas;Halomonas			Xanthomonas;Halomonas
Xanthomonas	;	Acinetobacter	Xanthomonas;Acinetobacter			Xanthomonas;Acinetobacter
Xanthomonas	;	Aeromonas	Xanthomonas;Aeromonas			Xanthomonas;Aeromonas
Xanthomonas	;	Desulfovibrio	Xanthomonas;Desulfovibrio			Xanthomonas;Desulfovibrio
Xanthomonas	;	Nitrospira	Xanthomonas;Nitrospira			Xanthomonas;Nitrospira
Xanthomonas	;	Pseudomonas	Xanthomonas;Pseudomonas			Xanthomonas;Pseudomonas
Xanthomonas	;	Rhodobacter	Xanthomonas;Rhodobacter			Xanthomonas;Rhodobacter
Xanthomonas	;	Opitutus	Xanthomonas;Opitutus			Xanthomonas;Opitutus
Xanthomonas	;	Raoultella	Xanthomonas;Raoultella			Xanthomonas;Raoultella
Xanthomonas	;	Klebsiella	Xanthomonas;Klebsiella			Xanthomonas;Klebsiella
Xanthomonas	;	Enterococcus	Xanthomonas;Enterococcus			Xanthomonas;Enterococcus
Xanthomonas	;	Enterobacter	Xanthomonas;Enterobacter			Xanthomonas;Enterobacter
Xanthomonas	;	Streptococcus	Xanthomonas;Streptococcus			Xanthomonas;Streptococcus
Xanthomonas	;	Roseomonas	Xanthomonas;Roseomonas			Xanthomonas;Roseomonas
Xanthomonas	;	Rhizobium	Xanthomonas;Rhizobium			Xanthomonas;Rhizobium
Xanthomonas	;	Rhizobacter	Xanthomonas;Rhizobacter			Xanthomonas;Rhizobacter
Xanthomonas	;	Mycobacterium	Xanthomonas;Mycobacterium			Xanthomonas;Mycobacterium
Xanthomonas	;	Blautia	Xanthomonas;Blautia			Xanthomonas;Blautia
Xanthomonas	;	Bacillus	Xanthomonas;Bacillus			Xanthomonas;Bacillus
Xanthomonas	;	Gemmobacter	Xanthomonas;Gemmobacter			Xanthomonas;Gemmobacter
Xanthomonas	;	Anaerolinea	Xanthomonas;Anaerolinea			Xanthomonas;Anaerolinea
Xanthomonas	;	Nitratireductor	Xanthomonas;Nitratireductor			Xanthomonas;Nitratireductor
Xanthomonas	;	Staphylococcus	Xanthomonas;Staphylococcus			Xanthomonas;Staphylococcus
Xanthomonas	;	Actinomyces	Xanthomonas;Actinomyces			Xanthomonas;Actinomyces
Xanthomonas	;	Burkholderia	Xanthomonas;Burkholderia			Xanthomonas;Burkholderia
Xanthomonas	;	Nakamurella	Xanthomonas;Nakamurella			Xanthomonas;Nakamurella
Xanthomonas	;	Lachnospira	Xanthomonas;Lachnospira			Xanthomonas;Lachnospira
Xanthomonas	;	Shinella	Xanthomonas;Shinella			Xanthomonas;Shinella
Xanthomonas	;	Arthrobacter	Xanthomonas;Arthrobacter			Xanthomonas;Arthrobacter
Xanthomonas	;	Paenibacillus	Xanthomonas;Paenibacillus			Xanthomonas;Paenibacillus
Xanthomonas	;	Ensifer	Xanthomonas;Ensifer			Xanthomonas;Ensifer
Xanthomonas	;	Delftia	Xanthomonas;Delftia			Xanthomonas;Delftia
Xanthomonas	;	Ruminiclostridium	Xanthomonas;Ruminiclostridium			Xanthomonas;Ruminiclostridium
Xanthomonas	;	Brevibacillus	Xanthomonas;Brevibacillus			Xanthomonas;Brevibacillus
Xanthomonas	;	Desulfobacter	Xanthomonas;Desulfobacter			Xanthomonas;Desulfobacter
Xanthomonas	;	Leucobacter	Xanthomonas;Leucobacter			Xanthomonas;Leucobacter
Xanthomonas	;	Microbacter	Xanthomonas;Microbacter			Xanthomonas;Microbacter
Xanthomonas	;	Rhodopirellula	Xanthomonas;Rhodopirellula			Xanthomonas;Rhodopirellula
Xanthomonas	;	Veillonella	Xanthomonas;Veillonella			Xanthomonas;Veillonella
Xanthomonas	;	Leptospira	Xanthomonas;Leptospira			Xanthomonas;Leptospira
Xanthomonas	;	Mesorhizobium	Xanthomonas;Mesorhizobium			Xanthomonas;Mesorhizobium
Xanthomonas	;	Ochrobactrum	Xanthomonas;Ochrobactrum			Xanthomonas;Ochrobactrum
Xanthomonas	;	Pedosphaera	Xanthomonas;Pedosphaera			Xanthomonas;Pedosphaera
Xanthomonas	;	Georgenia	Xanthomonas;Georgenia			Xanthomonas;Georgenia
Xanthomonas	;	Rubrobacter	Xanthomonas;Rubrobacter			Xanthomonas;Rubrobacter
Xanthomonas	;	Methylobacter	Xanthomonas;Methylobacter			Xanthomonas;Methylobacter
Xanthomonas	;	Microbacterium	Xanthomonas;Microbacterium			Xanthomonas;Microbacterium
Xanthomonas	;	Treponema	Xanthomonas;Treponema			Xanthomonas;Treponema
Xanthomonas	;	Streptomyces	Xanthomonas;Streptomyces			Xanthomonas;Streptomyces
Xanthomonas	;	Candidatus Caldatribacterium	Xanthomonas;Candidatus Caldatribacterium			Xanthomonas;Candidatus Caldatribacterium
Xanthomonas	;	Eubacterium	Xanthomonas;Eubacterium			Xanthomonas;Eubacterium
Xanthomonas	;	Acetobacter	Xanthomonas;Acetobacter			Xanthomonas;Acetobacter
Xanthomonas	;	Kaistia	Xanthomonas;Kaistia			Xanthomonas;Kaistia
Xanthomonas	;	Cohaesibacter	Xanthomonas;Cohaesibacter			Xanthomonas;Cohaesibacter
Xanthomonas	;	Pseudonocardia	Xanthomonas;Pseudonocardia			Xanthomonas;Pseudonocardia
Xanthomonas	;	Oxalobacter	Xanthomonas;Oxalobacter			Xanthomonas;Oxalobacter
Xanthomonas	;	Thioclava	Xanthomonas;Thioclava			Xanthomonas;Thioclava
Xanthomonas	;	Atopobium	Xanthomonas;Atopobium			Xanthomonas;Atopobium
Xanthomonas	;	Oscillibacter	Xanthomonas;Oscillibacter			Xanthomonas;Oscillibacter
Xanthomonas	;	Tessaracoccus	Xanthomonas;Tessaracoccus			Xanthomonas;Tessaracoccus
Xanthomonas	;	Providencia	Xanthomonas;Providencia			Xanthomonas;Providencia
Xanthomonas	;	Olsenella	Xanthomonas;Olsenella			Xanthomonas;Olsenella
Xanthomonas	;	Sphaerochaeta	Xanthomonas;Sphaerochaeta			Xanthomonas;Sphaerochaeta
Xanthomonas	;	Acidiphilium	Xanthomonas;Acidiphilium			Xanthomonas;Acidiphilium
Xanthomonas	;	Starkeya	Xanthomonas;Starkeya			Xanthomonas;Starkeya
Xanthomonas	;	Phyllobacterium	Xanthomonas;Phyllobacterium			Xanthomonas;Phyllobacterium
Xanthomonas	;	Vibrio	Xanthomonas;Vibrio			Xanthomonas;Vibrio
Xanthomonas	;	Hungatella	Xanthomonas;Hungatella			Xanthomonas;Hungatella
Xanthomonas	;	Leifsonia	Xanthomonas;Leifsonia			Xanthomonas;Leifsonia
Xanthomonas	;	Micromonospora	Xanthomonas;Micromonospora			Xanthomonas;Micromonospora
Xanthomonas	;	Truepera	Xanthomonas;Truepera			Xanthomonas;Truepera
Xanthomonas	;	Aureimonas	Xanthomonas;Aureimonas			Xanthomonas;Aureimonas
Xanthomonas	;	Gluconacetobacter	Xanthomonas;Gluconacetobacter			Xanthomonas;Gluconacetobacter
Xanthomonas	;	Oscillospira	Xanthomonas;Oscillospira			Xanthomonas;Oscillospira
Xanthomonas	;	Tabrizicola	Xanthomonas;Tabrizicola			Xanthomonas;Tabrizicola
Xanthomonas	;	Pantoea	Xanthomonas;Pantoea			Xanthomonas;Pantoea
Xanthomonas	;	Kiloniella	Xanthomonas;Kiloniella			Xanthomonas;Kiloniella
Xanthomonas	;	Caldilinea	Xanthomonas;Caldilinea			Xanthomonas;Caldilinea
Xanthomonas	;	Euzebya	Xanthomonas;Euzebya			Xanthomonas;Euzebya
Xanthomonas	;	Brachybacterium	Xanthomonas;Brachybacterium			Xanthomonas;Brachybacterium
Xanthomonas	;	Pelomonas	Xanthomonas;Pelomonas			Xanthomonas;Pelomonas
Xanthomonas	;	Nonomuraea	Xanthomonas;Nonomuraea			Xanthomonas;Nonomuraea
Xanthomonas	;	Sulfobacillus	Xanthomonas;Sulfobacillus			Xanthomonas;Sulfobacillus
Xanthomonas	;	Virgibacillus	Xanthomonas;Virgibacillus			Xanthomonas;Virgibacillus
Xanthomonas	;	Amycolatopsis	Xanthomonas;Amycolatopsis			Xanthomonas;Amycolatopsis
Xanthomonas	;	Ktedonobacter	Xanthomonas;Ktedonobacter			Xanthomonas;Ktedonobacter
Xanthomonas	;	Serratia	Xanthomonas;Serratia			Xanthomonas;Serratia
Xanthomonas	;	Salmonella	Xanthomonas;Salmonella			Xanthomonas;Salmonella
Xanthomonas	;	Grimontia	Xanthomonas;Grimontia			Xanthomonas;Grimontia
Xanthomonas	;	Labrenzia	Xanthomonas;Labrenzia			Xanthomonas;Labrenzia
Xanthomonas	;	Verminephrobacter	Xanthomonas;Verminephrobacter			Xanthomonas;Verminephrobacter
Xanthomonas	;	Paucibacter	Xanthomonas;Paucibacter			Xanthomonas;Paucibacter
Xanthomonas	;	Actinomadura	Xanthomonas;Actinomadura			Xanthomonas;Actinomadura
Xanthomonas	;	Butyrivibrio	Xanthomonas;Butyrivibrio			Xanthomonas;Butyrivibrio
Xanthomonas	;	Phycisphaera	Xanthomonas;Phycisphaera			Xanthomonas;Phycisphaera
Xanthomonas	;	Sporichthya	Xanthomonas;Sporichthya			Xanthomonas;Sporichthya
Xanthomonas	;	Pandoraea	Xanthomonas;Pandoraea			Xanthomonas;Pandoraea
Xanthomonas	;	Photorhabdus	Xanthomonas;Photorhabdus			Xanthomonas;Photorhabdus
Xanthomonas	;	Aeribacillus	Xanthomonas;Aeribacillus			Xanthomonas;Aeribacillus
Xanthomonas	;	Thermobifida	Xanthomonas;Thermobifida			Xanthomonas;Thermobifida
Xanthomonas	;	Tepidanaerobacter	Xanthomonas;Tepidanaerobacter			Xanthomonas;Tepidanaerobacter
Xanthomonas	;	Oceanobacillus	Xanthomonas;Oceanobacillus			Xanthomonas;Oceanobacillus
Xanthomonas	;	Thalassospira	Xanthomonas;Thalassospira			Xanthomonas;Thalassospira
Xanthomonas	;	Telmatospirillum	Xanthomonas;Telmatospirillum			Xanthomonas;Telmatospirillum
Xanthomonas	;	Succinivibrio	Xanthomonas;Succinivibrio			Xanthomonas;Succinivibrio
Xanthomonas	;	Selenomonas	Xanthomonas;Selenomonas			Xanthomonas;Selenomonas
Xanthomonas	;	Robinsoniella	Xanthomonas;Robinsoniella			Xanthomonas;Robinsoniella
Xanthomonas	;	Pseudobutyrivibrio	Xanthomonas;Pseudobutyrivibrio			Xanthomonas;Pseudobutyrivibrio
Xanthomonas	;	Planctomyces	Xanthomonas;Planctomyces			Xanthomonas;Planctomyces
Xanthomonas	;	Pasteurella	Xanthomonas;Pasteurella			Xanthomonas;Pasteurella
Xanthomonas	;	Oceanisphaera	Xanthomonas;Oceanisphaera			Xanthomonas;Oceanisphaera
Xanthomonas	;	Morganella	Xanthomonas;Morganella			Xanthomonas;Morganella
Xanthomonas	;	Mesotoga	Xanthomonas;Mesotoga			Xanthomonas;Mesotoga
Xanthomonas	;	Leptolinea	Xanthomonas;Leptolinea			Xanthomonas;Leptolinea
Xanthomonas	;	Haemophilus	Xanthomonas;Haemophilus			Xanthomonas;Haemophilus
Xanthomonas	;	Geosporobacter	Xanthomonas;Geosporobacter			Xanthomonas;Geosporobacter
Xanthomonas	;	Fretibacterium	Xanthomonas;Fretibacterium			Xanthomonas;Fretibacterium
Xanthomonas	;	Fervidobacterium	Xanthomonas;Fervidobacterium			Xanthomonas;Fervidobacterium
Xanthomonas	;	Dorea	Xanthomonas;Dorea			Xanthomonas;Dorea
Xanthomonas	;	Dictyoglomus	Xanthomonas;Dictyoglomus			Xanthomonas;Dictyoglomus
